bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Pessoas alfabetizadas, Sexo masculino, 15 a 19 anos;Pessoas alfabetizadas, Sexo feminino, 15 a 19 anos;Pessoas alfabetizadas, Sexo masculino, 20 a 24 anos;Pessoas alfabetizadas, Sexo feminino, 20 a 24 anos;Pessoas alfabetizadas, Sexo masculino, 25 a 29 anos;Pessoas alfabetizadas, Sexo feminino, 25 a 29 anos;Pessoas alfabetizadas, Sexo masculino, 30 a 34 anos;Pessoas alfabetizadas, Sexo feminino, 30 a 34 anos;Pessoas alfabetizadas, Sexo masculino, 35 a 39 anos;Pessoas alfabetizadas, Sexo feminino, 35 a 39 anos;Pessoas alfabetizadas, Sexo masculino, 40 a 44 anos;Pessoas alfabetizadas, Sexo feminino, 40 a 44 anos;Pessoas alfabetizadas, Sexo masculino, 45 a 49 anos;Pessoas alfabetizadas, Sexo feminino, 45 a 49 anos;Pessoas alfabetizadas, Sexo masculino, 50 a 54 anos;Pessoas alfabetizadas, Sexo feminino, 50 a 54 anos;Pessoas alfabetizadas, Sexo masculino, 55 a 59 anos;Pessoas alfabetizadas, Sexo feminino, 55 a 59 anos;Pessoas alfabetizadas, Sexo masculino, 60 a 64 anos;Pessoas alfabetizadas, Sexo feminino, 60 a 64 anos;Pessoas alfabetizadas, Sexo masculino, 65 a 69 anos;Pessoas alfabetizadas, Sexo feminino, 65 a 69 anos;Pessoas alfabetizadas, Sexo masculino, 70 a 79 anos;Pessoas alfabetizadas, Sexo feminino, 70 a 79 anos;Pessoas alfabetizadas, Sexo masculino, 80 anos ou mais;Pessoas alfabetizadas, Sexo feminino, 80 anos ou mais
Madureira;83;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1166;1102;1361;1356;1229;1403;1286;1377;1352;1532;1425;1586;1139;1407;1162;1379;1168;1440;1076;1468;865;1357;1053;1722;398;999
Magalhães Bastos;138;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;656;646;750;750;765;768;663;729;685;788;695;814;596;765;652;785;581;782;591;794;459;656;499;755;147;357
Mangueira;11;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;698;739;800;872;684;825;586;739;623;789;556;733;450;597;430;528;361;544;306;455;235;358;223;347;22;120
Manguinhos;39;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;1130;1192;1274;1393;1219;1299;1051;1164;958;1056;926;1129;738;873;639;788;516;711;498;623;349;456;290;431;60;129
Maracanã;35;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;518;476;675;676;736;864;817;921;905;951;883;1007;665;884;650;844;690;884;679;974;597;913;772;1296;414;948
Maré;157;COMPLEXO DA MARE;30;XXX Maré;Ramos;3.1;Área de Planejamento 3;3;4566;4818;5411;5892;5228;5847;4918;5464;4588;5176;4471;4884;3412;4002;3016;3461;2300;2927;1863;2284;1253;1605;1195;1524;165;474
Marechal Hermes;90;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1325;1248;1389;1430;1402;1446;1248;1431;1279;1442;1329;1610;1194;1477;1191;1527;1258;1577;1159;1527;950;1388;1087;1679;410;958
Maria da Graça;52;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;164;163;204;213;226;300;272;296;256;268;304;323;232;276;211;232;224;275;228;267;192;268;233;320;88;202
Méier;63;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;818;778;993;970;1100;1109;1092;1346;1263;1427;1308;1635;1096;1414;1083;1449;1235;1791;1240;1941;1168;1897;1565;2867;819;2107
Moneró;102;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;124;121;171;167;166;202;185;205;184;223;187;206;156;196;168;239;195;238;163;226;143;197;208;318;125;262
Olaria;42;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;1481;1423;1663;1710;1671;1775;1511;1779;1597;1831;1712;2137;1507;1902;1562;1936;1510;1972;1387;1868;1075;1674;1379;2535;665;1472
Osvaldo Cruz;88;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;762;746;983;1000;973;1063;880;951;926;1033;999;1204;906;1078;910;1150;934;1217;887;1239;743;1101;838;1429;369;870
Paciência;148;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;4043;3831;4129;4128;3839;4085;3341;3875;3653;4134;3878;4512;3228;3805;2921;3349;2487;3009;2188;2896;1597;2204;1733;2459;393;884
Padre Miguel;140;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;1751;1789;2061;2048;1735;1904;2028;2404;2309;2450;2405;2645;1992;2254;1805;2109;1670;2078;1762;2121;1315;1695;1495;1948;359;871
Paquetá;13;PAQUETA;21;XXI Paquetá;Centro;1.1;Área de Planejamento 1;1;87;73;90;94;100;77;91;87;89;115;106;109;91;106;97;110;135;136;134;181;104;166;142;189;59;127
Parada de Lucas;47;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;680;659;690;760;726;724;730;919;743;802;721;805;622;692;534;636;490;560;420;571;288;405;269;549;109;208
Parque Anchieta;108;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;671;644;767;736;687;725;624;707;676;775;835;932;668;802;774;917;647;814;586;725;456;682;625;936;305;455
